nama_puskesmas,tenaga_kesehatan_masyarakat,tenaga_gizi,jumlah_posyandu,tenaga_keperawatan,tenaga_kebidanan,kematian_bayi,kelahiran_bayi,bayi_berat_badan_lahir_rendah,jumlah_balita,balita_kurang_gizi,tuberkulosis_anak,pneumonia_balita,diare_balita,tahun
Tempel I,2,2,40,10,9,0,389,20,1860,69,7,4,265,2022
Tempel II,1,5,35,7,6,0,295,10,1313,71,5,7,213,2022
Turi,3,3,58,14,14,3,467,31,2077,146,10,1,330,2022
Pakem,3,3,64,7,10,2,361,34,2184,147,6,0,360,2022
Cangkringan,3,3,57,5,6,3,342,11,1924,134,3,1,339,2022
Nglipar I,0,2,24,12,6,2,158,11,652,44,65,8,107,2022
Nglipar II,1,2,21,5,7,1,181,10,701,31,25,6,121,2022
Gedangsari I,3,1,32,5,8,6,231,23,816,44,21,1,150,2022
Gedangsari II,1,2,32,6,7,0,247,25,487,137,38,4,154,2022
Patuk I,0,2,34,9,6,1,221,23,809,4,10,20,138,2022
Patuk II,0,1,38,4,8,1,121,3,757,70,15,1,139,2022
Rongkop,1,0,77,10,9,1,238,18,854,98,38,11,175,2022
Girisubo,1,1,83,9,8,1,244,26,679,98,39,3,155,2022
Ponjong I,1,1,65,15,9,1,364,28,1454,137,49,6,258,2022
Ponjong II,2,1,45,10,8,2,156,9,579,50,25,0,117,2022
Wonosari I,3,1,45,9,11,2,322,19,1321,19,21,3,229,2022
Wonosari II,2,1,64,9,7,1,419,26,1836,190,27,6,430,2022
Karangmojo I,1,1,53,4,9,5,254,28,1144,93,41,4,255,2022
Karangmojo II,1,2,39,6,6,1,174,10,1075,97,25,48,160,2022
Panggang I,3,2,20,5,5,0,116,7,570,46,17,0,80,2022
Panggang II,2,2,25,10,10,0,189,5,614,73,81,29,123,2022
Purwosari,2,2,32,6,7,0,171,10,426,86,25,10,153,2022
Tepus I,2,2,30,14,3,0,81,9,372,50,15,1,64,2022
Tepus II,2,3,56,8,6,1,185,24,770,119,27,1,130,2022
Tanjungsari,2,2,71,6,5,2,255,25,1028,77,22,73,179,2022
Paliyan,3,1,55,3,7,1,337,8,623,165,48,17,213,2022
Saptosari,1,3,62,7,8,3,369,33,1687,116,31,3,263,2022
Ngawen I,3,2,36,5,7,0,184,5,823,68,5,2,167,2022
Ngawen II,2,4,18,8,6,1,173,21,606,55,12,6,113,2022
Semanu I,1,3,56,12,6,1,297,35,1259,110,35,7,242,2022
Semanu II,1,3,37,7,5,2,238,21,984,109,17,5,158,2022
Semin I,2,3,69,12,8,4,318,19,1337,143,16,20,364,2022
Semin II,2,3,54,8,10,3,269,21,893,77,4,3,150,2022
Playen I,1,3,51,11,9,3,359,8,1310,98,37,0,168,2022
Playen II,1,3,50,5,7,2,290,14,913,91,19,26,245,2022
